Category,Item,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbs (g),Fiber (g),Sugars (g),Protein (g),Weight Watcher Pnts
Cold Brew Coffee,"Cold Brew Coffee, Large",5,0,0,0,0,20,0,0,0,1,4
Cold Brew Coffee,"Cold Brew Coffee, Medium",5,0,0,0,0,15,0,0,0,0,5
Cold Brew Coffee,"Cold Brew Coffee, Small",5,0,0,0,0,10,0,0,0,0,5
Cold Brew Coffee,"Cold Brew Coffee with Cream, Large",120,12,6,0,35,65,2,0,2,2,126
Cold Brew Coffee,"Cold Brew Coffee with Cream, Medium",90,9,4.5,0,25,45,1,0,1,2,93.5
Cold Brew Coffee,"Cold Brew Coffee with Cream, Small",60,6,3,0,20,30,1,0,1,1,63
Cold Brew Coffee,"Cold Brew Coffee with Cream and Sugar, Large",260,12,6,0,35,65,37,0,36,2,300
Cold Brew Coffee,"Cold Brew Coffee with Cream and Sugar, Medium",190,9,4.5,0,25,45,27,0,27,2,219.5
Cold Brew Coffee,"Cold Brew Coffee with Cream and Sugar, Small",130,6,3,0,20,30,18,0,18,1,150
Cold Brew Coffee,"Nitro Cold Brew Coffee, Medium",5,0,0,0,0,10,0,0,0,1,4
Cold Brew Coffee,"Nitro Cold Brew Coffee, Small",5,0,0,0,0,5,0,0,0,0,5
Coolatta,"Blue Raspberry Coolatta, Large",460,0,0,0,0,60,112,0,110,0,570
Coolatta,"Blue Raspberry Coolatta, Medium",350,0,0,0,0,45,84,0,83,0,433
Coolatta,"Blue Raspberry Coolatta, Small",230,0,0,0,0,30,56,0,55,0,285
Coolatta,"Vanilla Bean Coolatta, Large",790,6,3.5,0,20,320,172,0,167,10,950.5
Coolatta,"Vanilla Bean Coolatta, Medium",590,4.5,2.5,0,15,240,129,0,125,7,710.5
Coolatta,"Vanilla Bean Coolatta, Small",390,3,1.5,0,10,160,86,0,83,5,469.5
Coolatta,"Pineapple Coolatta, Large",460,0,0,0,0,45,113,0,107,0,567
Coolatta,"Pineapple Coolatta, Medium",340,0,0,0,0,30,85,0,80,0,420
Coolatta,"Pineapple Coolatta, Small",230,0,0,0,0,20,56,0,53,0,283
Donuts,Apple ‘n Spice Donut,230,10,4,0,0,300,31,1,10,4,240
Donuts,Apple Crumb Donut,290,11,4.5,0,0,310,44,1,22,5,311.5
Donuts,Apple Fritter,510,28,12,0,0,470,57,2,24,6,540
